Interval=	0,005 s
ExcelDateTime=	4,2821680721150136e+04	03/27/17 16:20:14,307372
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	LV Pressure	Aortic Pressure	Aortic Flow	LVAD Flow
Range=	10,000 V	10,000 V	10,000 V	10,000 V
UnitName=	mmHg	mmHg	L/min	L/min
TopValue=	2379,96	2344,43	228,36	39,30
BottomValue=	-2657,92	-2660,56	-228,30	-39,28
37,42	-10,43686	101,804	6,003093	5,578971
37,425	-10,83044	101,2566	5,703409	5,420579
37,43	-10,51558	100,8656	5,682003	5,276921
37,435	-9,649691	100,7874	5,375183	5,14063
37,44	-9,019955	100,3964	5,289559	5,01539
37,445	-8,075352	100,1618	5,125446	4,899972
37,45	-6,81588	100,5528	5,01128	4,790694
37,455	-5,241541	100,9438	4,918521	4,687555
37,46	-3,824636	101,3348	4,854303	4,585643
37,465	-2,722599	101,5694	4,733002	4,492327
37,47	-1,463128	101,8823	4,69019	4,401466
37,475	-0,4398074	102,5079	4,58316	4,319201
37,48	0,5047961	103,2117	4,497535	4,246758
37,485	1,291966	104,2283	4,369099	4,191505
37,49	1,921701	105,245	4,419047	4,155897
37,495	2,236569	106,418	4,269204	4,133796
37,5	2,47272	107,2783	4,304881	4,115378
37,505	2,551437	108,2167	4,190716	4,108011
37,51	3,023739	109,3115	4,204986	4,092049
37,515	3,417323	109,7025	4,105091	4,080999
37,52	3,574757	110,1718	4,040873	4,066264
37,525	3,732191	110,25	3,998061	4,05153
37,53	4,204493	111,032	3,948114	4,039252
37,535	3,968342	111,1884	3,990926	4,025745
37,54	3,889625	111,3448	3,891031	4,007328
37,545	3,653474	111,1102	4,019467	3,986454
37,55	3,417323	110,7192	3,891031	3,955758
37,555	3,338606	110,0154	4,026603	3,92629
37,56	3,653474	109,5461	3,905302	3,895594
37,565	3,259889	109,0769	4,097956	3,868581
37,57	3,102455	108,4513	3,96952	3,839113
37,575	2,945022	108,3731	4,105091	3,825607
37,58	2,708871	108,2167	4,048009	3,818239
37,585	2,708871	108,2949	4,133633	3,819467
37,59	2,708871	108,0603	4,07655	3,815784
37,595	2,315286	107,7475	4,119362	3,815784
37,6	2,394003	107,1218	4,062279	3,815784
37,605	2,708871	106,3398	4,133633	3,814556
37,61	2,866305	105,7142	3,976655	3,807189
37,615	2,708871	105,3232	4,119362	3,815784
37,62	2,945022	105,4796	3,976655	3,815784
37,625	3,574757	105,4796	4,026603	3,820695
37,63	3,732191	105,1668	3,919572	3,817012
37,635	3,653474	104,7758	4,147904	3,823151
37,64	3,810908	104,0719	3,905302	3,824379
37,645	3,653474	103,6809	4,112227	3,824379
37,65	3,417323	103,6809	3,940978	3,825607
37,655	3,181172	103,8373	4,133633	3,837885
37,66	2,787588	103,8373	3,891031	3,847708
